1.000000;0.023680;0.041312
2.000000;0.012384;0.035584
4.000000;0.012096;0.035264
8.000000;0.011552;0.034304
16.000000;0.011520;0.048064
32.000000;0.011744;0.033568
64.000000;0.011808;0.049632
128.000000;0.012992;0.035232
256.000000;0.011904;0.036896
512.000000;0.012416;0.044704
1024.000000;0.013088;0.042720
2048.000000;0.012512;0.057760
4096.000000;0.013600;0.059872
8192.000000;0.014720;0.359008
16384.000000;0.021792;0.349440
32768.000000;0.022528;0.354880
65536.000000;0.023008;0.363360
131072.000000;0.031232;0.381184
262144.000000;0.051744;0.367840
524288.000000;0.082048;0.377952
